status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Declined,2,-1.199392254,-0.853503556,1.655129939,0,1,1,,10/7/2019 18:09,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,-1.768438455,0.236397214,25000,100000,75000,,10/15/2019 12:31,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,-0.879644553,-0.067616941,400000,500000,100000,,10/30/2019 10:27,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.199392254,-1.428605492,-1.385011615,0,1,1,,10/25/2019 12:26,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,-1.245618512,-0.371631097,30000,200000,170000,,8/1/2019 10:53,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,1.133212225,-1.486349667,0,100000,100000,,10/25/2019 12:44,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,0.584251285,-0.168954993,0,250000,250000,,10/25/2019 15:31,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.199392254,-0.069273642,-1.283673563,0,1,1,,10/7/2019 18:47,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,-0.72279857,0.135059162,0,120000,120000,,7/22/2019 2:27,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,0.375123309,-0.371631097,126000,252000,126000,,7/18/2019 12:46,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,0.976366242,0.439073318,70000,209000,139000,,9/12/2019 2:03,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.199392254,-1.428605492,0.439073318,239000,319000,80000,,7/15/2019 20:20,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
